Bee index ,bee colony,task,Trails,Position of stimulus,response (1= correct; 0= incorrect),,
2,1,bigger-than,19,6,1,,
2,1,bigger-than,19,2,1,,
2,1,bigger-than,19,5,0,,
2,1,bigger-than,19,2,1,,
2,1,bigger-than,20,2,1,,
2,1,bigger-than,20,4,1,,
2,1,bigger-than,20,5,0,,
2,1,bigger-than,20,4,1,,
2,1,bigger-than,20,1,0,,
2,1,bigger-than,21,5,1,,
2,1,bigger-than,21,3,1,,
2,1,bigger-than,21,2,0,,
2,1,bigger-than,21,1,1,,
2,1,bigger-than,22,5,0,,
2,1,bigger-than,22,4,0,,
2,1,bigger-than,22,6,1,,
2,1,bigger-than,22,1,1,,
2,1,bigger-than,22,2,1,,
2,1,bigger-than,23,4,1,,
2,1,bigger-than,23,5,1,,
2,1,bigger-than,23,2,0,,
2,1,bigger-than,23,3,1,,
2,1,bigger-than,24,1,1,,
2,1,bigger-than,24,6,0,,
2,1,bigger-than,24,3,1,,
2,1,bigger-than,24,4,1,,
2,1,bigger-than,25,6,1,,
2,1,bigger-than,25,2,1,,
2,1,bigger-than,25,1,1,,
2,1,bigger-than,26,4,1,,
2,1,bigger-than,26,6,1,,
2,1,bigger-than,26,3,1,,
2,1,bigger-than,27,6,0,,
2,1,bigger-than,27,3,1,,
2,1,bigger-than,27,5,1,,
2,1,bigger-than,27,3,1,,
2,1,bigger-than,27,4,0,,
2,1,bigger-than,27,5,1,,
2,1,bigger-than,27,3,1,,
2,1,bigger-than,28,4,1,,
2,1,bigger-than,28,6,1,,
2,1,bigger-than,28,1,1,,
2,1,bigger-than,29,5,1,,
2,1,bigger-than,29,4,1,,
2,1,bigger-than,29,1,1,,
2,1,bigger-than,30,6,0,,
2,1,bigger-than,30,2,1,,
2,1,bigger-than,30,3,1,,
2,1,bigger-than,30,4,0,,
2,1,bigger-than,30,1,1,,
3,1,smaller-than,1,4,0,,
3,1,smaller-than,1,5,0,,
3,1,smaller-than,1,4,0,,
3,1,smaller-than,1,5,0,,
3,1,smaller-than,1,6,1,,
3,1,smaller-than,1,5,0,,
3,1,smaller-than,1,4,0,,
3,1,smaller-than,1,1,1,,
3,1,smaller-than,1,2,0,,
3,1,smaller-than,1,3,1,,
3,1,smaller-than,2,4,1,,
3,1,smaller-than,2,1,1,,
3,1,smaller-than,2,2,1,,
3,1,smaller-than,2,1,0,,
3,1,smaller-than,2,4,1,,
3,1,smaller-than,2,5,0,,
3,1,smaller-than,2,2,0,,
3,1,smaller-than,2,6,1,,
3,1,smaller-than,3,4,1,,
3,1,smaller-than,3,1,0,,
3,1,smaller-than,3,4,1,,
3,1,smaller-than,3,5,1,,
3,1,smaller-than,3,4,1,,
3,1,smaller-than,3,2,1,,
3,1,smaller-than,3,3,0,,
3,1,smaller-than,4,4,0,,
3,1,smaller-than,4,4,0,,
3,1,smaller-than,4,3,1,,
